cantonese,english,greedy,beam
個花樽裏面啲花係玫瑰嚟嘅。,The flowers in the vase are roses.,"Бұл қазір қарап, қаңтарда қанаққалы.",Өзiмдiкiнiгiшiлiң бiрiпiз кiсiтi.
我幫啲花淋水淋嚟都無謂，因為我一淋完就開始落雨喇。,"I needn't have watered the flowers. Just after I finished, it started raining.","Менің қазір менің жарып, қаңтар мен қазып мен өріп келдім.","Содан соң облыстық әкімдікте өңдеуге келдім, содан кейін жасайды."
你星期二得唔得閒呀？,Are you free on Tuesday?,Måste du inte ha det på tisdag?,Vous n’avez pas de temps mardi ?
千祈唔好唔記得熄火。,Never forget to put out the fire.,"Қайтаққа қанақтар, қалыққшаға қалады.","Қандай-ақ айтылады, не айталады."
佢起唔到火，唯有生勾勾噉食咗條魚。,"As he had no way of making fire, he ate the fish raw.","Bu, yalnız qısa balıq yemək üçün bir yerdir.","O, ateşdən başqa bir şey yeməyəcəkdir."
你鍾唔鍾意唱歌？,Do you like singing?,Бұл қазір мен песында?,Өзiмiкiң әсiнiгiшiлi?
我可唔可以同屋企人一齊嚟㗎？,May I bring my family along?,"Қандай да, бізге қазірге ұлыстыр?",Est-ce que je ne peux pas travailler avec les propriétaires ?
如果唔係為咗養家，我會辭咗份工。,"If it were not for my family, I would give up this job.","Қандай, менің қазір мен қаңтар мен жастарды.",جيڪڏھن منھنجو ڪم نه ڪندس ته آءٌ ڪم ڪريان ٿو.
我揸車送你返屋企啦。,I'll drive you home.,Өзiңiмiкiздiпiшiгiнiлiвiтiiддттei,Jag vill ha bilen som skickar dig hem.
啲屋一間一間噉著咗火。,The houses caught fire one after another.,Қазір бұл жерде жарыққа жарып отыр.,ҚазАқпарат – Жүктеу ойыны қайтыс болды.
我返到屋企嗰陣好鬼肚餓。,"When I got home, I was very hungry.",Өзiмiң жасайды жастарды қайтiпi.,Өйткені қайтарып келдім.
我返緊屋企嗰陣撞到佢。,"On my way home, I met him.","Менің қазір қайтарып, қайтарп қайтып.",Өйткені қайтарып келдім.
我一返到屋企就開始落雨喇。,"As soon as I got home, it began to rain.",Өзiмiң күшiнiкiгiш кiздiпiлiрiсi.,വീട്ടിൽ തിരികെ വന്നപ്പോള് മഴ തുടങ്ങും.
我漏咗張卡喺屋企。,I left my card at home.,Менің қазір кешкен кешеміз.,Қазіргі уақытта мысалы мақалалар бар.
吽喺屋企一啲都唔好玩。,Staying home isn't fun.,Бұл үшін бізге неге қазір.,Өзiмiнiкiгiшiлiпiдiң әсiрi.
你唔覺得間屋喺度震緊咩？,Don't you feel the house shaking?,Бұл қазір мен қағидалар мен жарыққа қабырға?,Қазіргі уақытта мұндай жылдамдығынан тұрады?
我放完暑假即刻就要考試喇。,I'll have exams right after the summer holidays.,Jag ska till och med få sommarlovet att testa.,夏休みを終えるとすぐに試験が行きます。
唔知過咗咁多年佢仲認唔認得我呢？,I wonder if she will recognize me after all those years.,Қаншама жылы қазір мен қазыққа не айтылады?,"Қандай-ақ, бір жылдан басқа да бір нәрсеге айтылады?"
你幾點返屋企呀？,When will you come home?,- Anh về nhà bao lâu rồi?,Hur lång tid kommer du hem?
你知唔知間舖頭幾點閂門呀？,Do you know what time the shop is closed?,Қандай да бір қағазды да бар?,Қандай-ақ қанақтармен таныстырып келдім?
你幾時返嚟呀？,When will you be back?,A quelle heure vous revenez ?,A quelle heure vous reviendrez ?
你點解咁諗嘅？,Why do you think so?,Бұл қазір қандай?,Қазіргі уақытта өңдеуге болады?
你做咩無嚟到嘅？,Why didn't you come?,Бұл қазір неге қарап отыр?,Tu fais des choses sans doute ?
你買咗啲乜嘢呀？,What did you buy?,Bạn mua hàng không?,Du köper företag?
買咗啲咩呀你？,What did you buy?,Mua hàng ư?,買ってますか?
你maj咩㗎？,What's your major?,Қазір қандай?,Vous avez certainement ?
加油！,Come on!,Өзiңiмi!,ガソリン!
你喺度諗緊啲咩呀？,What are you thinking about?,Vous êtes particulièrement inquiet ?,Vous êtes certainement particulièrement inquiet ?
內容重要過表達方法。,What to say is more important than how to say it.,O conteúdo é um método de expressão importante.,Il contenuto è importante per il metodo di espressione.
你想飲啲咩呀？,What will you have to drink?,- Anh muốn uống rượu à?,Vous voulez boire ?
飲乜嘢呀？,What would you like to drink?,Қайтаққа бар?,飲んでる?
我諗我搞得掂㗎喇。,I think I can handle it.,Менің қазір мен қазыққа қалады.,J'aimerais bien que je fasse le lot.
點解係我?,Why me?,Менің қазір?,나를 망치고 있습니까?
我想飲啲凍嘢。,I want something cold to drink.,Jag vill dricka även fryst.,Jag vill dricka även fryst.
我想食啲嘢。,I want something to eat.,Jag vill äta ägg.,Je voudrais manger.
可唔可以俾啲嘢我食呀？我餓到暈咁濟喇。,Please give me something to eat. I am so hungry.,"Қандай да, менің жасыққа да?",Өзiмiнiкiздiң бiрiлiшiгiтiпi?
我可唔可以講兩句呀？,May I say something?,Je ne peux pas dire deux mots ?,Kan jag inte säga två ord?
搞咩呀？,What's going on?,Қайтамыз?,Қандай да?
如果佢哋知道會發生埋啲噉嘅事，實會改用第二啲計劃啦。,"Had they known what was about to happen, they would have changed their plans.","Бұл қағидалар мен қаһарманның қаңтардан тұрады, онда бұл қақтарда қағаласы бар.",Қаланың тұрақты тұрғындарының саны 2 адамды құрайды.
你有冇養寵物㗎？,Do you have any pets?,Бұл жерде де ұлыстыратын?,Vous avez des animaux de compagnie ?
如果我好夜都未返，你就自己瞓先啦，唔使等我。,"If I should be late getting home, please don't wait up for me.","Om jag inte kommer tillbaka på natten, så kan du själv börja med, vänta inte på mig.","Si je ne reviens pas de bonne nuit, tu le feras tout d’abord, ne me laisse pas attendre."
唔該你較細聲啲吖。,"Turn down the volume, please.",Бұл қазір мен қағидалар мен жарық.,Vous n’avez pas plus de voix.
你鍾意聽音樂多啲吖，定係唱歌多啲呀？,Do you like listening to music or singing songs?,"Бұл жануарлар мен музыкалық жандарлар бар, бұл жандары бар?",Қандай-ақ музыкалық өңдеуге болады?
唔好嘈呀，會嚇走啲雀仔㗎。,Don't make any noise or you'll scare the birds away.,"Бұл қазір, бұл қағидалар мен қаһарманға жарық.","Қандай-ақ, қанақтар мен жарыққа жасайды."
我喊咗成晚。,I cried all night long.,Менің қазір келдім.,വൈകുന്നേരം ഞാൻ വിളിച്ചു.
我唔係同你講嘢，我係同隻馬騮講嘢。,I'm not talking to you; I'm talking to the monkey.,"Менің қазір менің жарып, мен қасым мен өріп.","Mən sizinlə görüşməm, sizə danışıram."
你同我講緊嘢呀？,Are you talking to me?,Tu parles avec moi ?,Tu parles avec moi ?
你唔好⋯⋯唔好噉同我講嘢。,You don't... you don't talk to me like that.,Tu ne peux pas me parler avec moi.,Tu ne peux pas me parler avec moi.
坐飛機去沖繩要坐幾多個鐘㗎？,How many hours does it take to go to Okinawa by plane?,Қаншама қазір ұлылысы бар?,Қазіргі уақытта бір жылдан астам ұсынады?
個騎士發誓向國王忠誠。,The knight swore an oath of allegiance to the king.,"Әлемде, Қазақстан Республикасының Қазақстандық қағидалардан сатыстырады.",രാജാവിന് റെ ശത്രുക്കളെ വിശ്വസിക്കുന്നതിനുള്ള വചനം
橫濱係日本第二大嘅城市。,Yokohama is the second largest city in Japan.,Бұл үшін «Япония» АҚШ-ның 2-ы қалалық қалалары бар.,Қаланың тұрақты тұрғындарының саны 2.
隻手污糟嗰陣千祈唔好捽眼。,Never rub the eyes when the hands are dirty.,Қайталы қабығы мен қазығы қазаларынан тұрады.,Қандай-қатты қанағаттан қалыңдар да салыстырылған.
你可以拎呢本書走，但係唔好整污糟佢喎。,You may take this book as long as you keep it clean.,"Bu kitabı sizə yazmaq olar, amma bu kitabın özünə baxmayaraq.","Bu kitabı bəlkə alabilirsən, amma bu kitabın içində heç bir şey olmasın."
你有冇鉛筆呀？,Have you got a pencil?,Бұл қазір мен одан?,Vous avez un clavier ?
舊石遠睇好似人樣。,"Seen from distance, the rock looked like a human face.",Бұл қазір қағидалар мен қаһарманға да айтып.,Өйткені одан да салыстырды.
我想問吓火車站點行呀？,Could you please tell me how to get to the station?,Tôi muốn hỏi đe dọa trạm tàu hỏa?,기차역을 두려워하고 싶은데요?
車站就喺呢度附近。,The station is nearby.,Stasjonen er nesten like nær.,La gare est presque à proximité.
佢係英國人，所以對英式用法同美式用法之間嘅分別特別敏感。,"As an Englishman, he is particularly sensitive to the differences between English and American usage.",Бұл қағидалар мен қаһарманның қаңтарда қауымдастырылған қабырғалар.,Мұндай қағидалар мен аралық-американдық іс-әрекеттер мен англоязылық жағдайлар бар.
英國好少地震。,They have few earthquakes in England.,Le pays a peu de tremblements de terre.,В Великобритании мало землетрясений.
你識唔識講英文㗎？,Can you speak English?,Bạn có biết nói tiếng Anh không?,Vous ne savez pas parler en anglais ?
英文好難講得好。,To speak English well is difficult.,Englanti on hyvin puhuttu.,Angličtina se dobře mluví.
你啲英文學成點呀？,How are you getting along with your English study?,Vous aimez apprendre l’anglais ?,Vous aimez apprendre l’anglais ?
我會永遠同你喺埋一齊。,I'll be with you forever.,Je vais être enterré avec toi pour toujours.,Aku akan menguburmu selamanya.
套戲好唔好睇呀？,Was the movie good?,Бұл қазір не күтіледі?,Өтiмiкiзiшiпiнiгiлiң бiрдi?
套戲好唔好睇呀？,Did you enjoy the film?,Бұл қазір не күтіледі?,Өтiмiкiзiшiпiнiгiлiң бiрдi?
啲電影全部都好悶。,All the films are boring.,Elokuvat ovat kaikki hyvin.,Kaikki elokuvat ovat kyllästyneet.
個司機問我應該行邊邊。,The driver asked me which way to go.,En förare frågar mig att jag ska gå bredvid.,En förare frågar att jag ska gå bredvid.
佢啲駕駛技術好差，但係都勉強通過咗個駕駛考試。,He managed to pass his driving test even though he was a poor driver.,"Бұл техникалық техникаға дейін, бұл техниканың іс-әрекеттің дамуында іс жүктеу.","Dia mencatat kemahiran memandu yang buruk, tetapi masing-masing belajar melewati ujian pemandu."
好似就落雨囉噃。我哋閂埋啲窗啦。,It looks like rain. We had better shut the windows.,Mưa cũng như vậy.Tôi đã chôn cửa sổ rồi.,やっぱり雨が降るの? 窓を埋めてしまいました。
如果唔落雨嘅話，你可以去踩單車。,You may go cycling if it doesn't rain.,"Бұл қазір, бұл жарып, ол да салыстырды.","Nếu không có mưa, bạn có thể đi bộ một chiếc xe."
報紙有冇話會落雨呀？,Did the newspaper say it was going to rain?,Бұл газетке айтылады?,Ауыз газетке айтып келдім?
雨由琴晚開始一直落到而家。,It's been raining since last night.,"Өйткені, қазір келдім, кейде де жарық.","Содан соң, қаңтарда жарыққа кетеді."
我哋最好喺個天開始落雨之前出發。,We had better start before it begins to rain.,Je préfère que je commence à marcher avant la pluie.,J'aurais préféré qu'il y ait un peu de temps avant la pluie.
我諗就快落雨喇。,I think it's going to rain.,Олар да да салыстырды.,Jag kommer säkert snart att regna.
我唔鍾意落雨嗰陣出街。,I don't like to go outside when it's raining.,"Менің қазір не жарып, қаңтарда не айтылады.","Не күлеріңді, не жарыңды да салыстым."
佢驚會落雨，所以就閂埋咗個窗。,He closed the window for fear of rain.,Bu barədə “Göğüs” və “Kərim” yazıb.,"Det kommer til å regne, så det er sikkert å begrave et vindu."
宇宙裏面係無空氣嘅。,There is no air in space.,Бұл қазір кірiмiнiңiзiр.,Мұндай қағидалар жоқ.
我舉唔起隻右手。,I can't lift my right arm.,Менің қазір мен қасымда.,Je ne lève pas la main droite.
我隻右眼咩都睇唔到。,I can't see anything with my right eye.,Менің қазір мен қаңтар мен басымда.,Sağ gözüm də görməmişdi.
唔好喺背後講人壞話。,Don't speak ill of others behind their back.,Бұл қазір қағидалар мен қаһарманның қазыққа қалады.,Tidak ada yang berbicara buruk di belakangnya.
你唔應該喺背後講人壞話。,You shouldn't talk about people behind their backs.,Sizə heç bir şey söyləmə bilər.,Dan janganlah engkau membicarakan hal-hal yang buruk di belakangmu.
我對佢一見鐘情。,She attracted me at first sight.,Менің қазір мен қасымда.,Mən onu görmək istəyirəm.
你係做錯咗，但係都唔可以怪你嘅。,"On the one hand, you are wrong, but on the other hand, I can't blame you for that.","Қандайды, бұл қанаққалы қалыңды.",Қазіргі уақытта сіздің қағидалар мен жабдықтар бар.
不如唞吓先啦？,What do you say to taking a rest?,Bättre än att skrämma först?,Är det bättre att skrämma först?
有啲大學教授好鍾意遲嚟早走。,Some college teachers come to class late and leave early.,Бұл үшін студенттер мен студенттік әскери қағидалар мен педагогикалық қауымдастырды.,"Өйткені, студенттер мен педагогикалық педагогика мен медициналық практикаға қарастырылған."
我為咗搭頭班火車，晨咁早就起咗身。,I got up early in order to catch the first train.,"Менің қазір, қаңтар мен қазан мен жазаға дейін көтеріп отыр.",Қазіргі уақытта «Атлант» АҚШ-қатынас аяқталады.
我永遠都係睇咗體育版先。,I always read the sports page first.,Менің қазір менің тіпті де ұрпаққа келдім.,Есім мен ҚазАқпарат Еуропаның ең көшiр.
最近嘅銀行喺邊呀？,Where is the nearest bank?,Бұл банктер өздеріне бір-бірінеміз?,최근에 은행이 옆에 있습니까?
成晚又落吓雨，又停吓雨。,It was raining on and off all night long.,Gecə yağmur yağdı və üz üzüntülər.,"Gecə yağmur yağdı, üzüntüyü durdurdu."
我請你飲嘢吖。,I'll buy you a drink.,Je vous prie de boire.,Je te demande de boire.
用一年半載就精通到英文係冇可能嘅事。,It is impossible to master English in a year or so.,"Бұл жылдан кейін, бұл бұл мақалалар мен басқа да айналды.","Қандай-ақ, бір жылға дейін іс-әрекетімен таныстырып келді."
我記得我有一次喺街度見過佢。,I remember seeing her once on the street.,Je me souviens que j’ai vu une fois dans la rue.,Je me souviens que j’ai vu une fois dans la rue.
我諗極都諗唔起佢叫咩名。,"I'm trying hard, but can't think of her name.",Je ne suis pas sûr que je l'appelle un nom.,Je ne suis pas sûr qu'on l'appelle certainement.
一個人幫唔到一班人，但係一班人幫到一個人。,"One can't help many, but many can help one.","Bir adam bir adamın yardımına kömək etmir, bir kişi bir insanın köməkinə kömək edir.","Bir adam bir dəstə kömək etmir, amma bir grup insan birinə kömək edir."
不如一齊去睇戲吖。,Would you like to go see a movie with me?,Daha yaxşı görmək olar.,Görmək daha yaxşıdır.
你一個禮拜沖幾多次涼㗎？,How often a week do you take a bath?,Қазіргі таңда бір жылдан бір-бірімен бір рет жетеді?,Қазіргі уақытта бір жылдан бір-қатынас келдім?
我等咗一個鐘，但係佢冇出現。,"I waited for an hour, but he didn't appear.","Менің қазір, қаңтар мен қазықтармен айтылады.","Mən bir saat bekliyordum, amma o da ortaya çıxdı."
我已經等咗你成個幾鐘喇。,I've been waiting for you for over an hour.,Менің қазір менің да бір жарыққа жатады.,Қазіргі уақытта тынышiлiкiгiнiмiзiпiңiрi.
我前日喺火車度撞到佢。,I met her by chance on the train the day before yesterday.,Jag rapporterade att tåget kolliderade henne.,Förra dagen rapporterade jag att tåget kolliderade henne.
第一眼望落去，嗰條題目好似好易噉。,"At first sight, the question seemed easy.","Қазір бұл қазір, қағидалар мен қасымда қауымдастыр.","İlk gözə baxışa baxılıb ki, bu barədə xəbər verir."
唔該唱首歌啦。,Please sing a song.,Бұл қазір песында не.,首歌を歌わない。
第一，我冇錢，第二，我冇空閒時間。,"For one thing, I've no money, and for another, I've no leisure.","Бұл, бұл, менің қазір мен қаңтар мен жарыққа қадам.","Есімдік, менің қанағаттанды, қайтарып кетеді."
個醫生雖然已經盡晒力，但係個病人都係冇幾耐就死咗。,All the doctor's efforts were in vain and the man soon died.,"Бұл жерде өнерінің өзара өңдеуге қарастырылған, бұл жерге өсімдіктер өтініштер.",Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
你最好聽個醫生講。,You had better do as the doctor advised you.,Il vaut mieux écouter un médecin.,Il est préférable d’entendre un médecin.
你去睇咗醫生未呀？,Did you go to the doctor?,Бұл болмасын болмайды?,Қандай болмасын болмайды?
個分別係佢做嘢做得勤力過你。,The difference is this: he works harder than you.,Өзiңiмiнiкiздiпiшiгiлiтiддттсiрiстei,Өмірінің соңына дейін өнерімен таныстырып келдім.
我去過北海道。,I've been to Hokkaido before.,Jeg gikk til Hokkaido.,Jag åkte till Hokkaido.
個天開始黑囉喎。唔該幫我開咗盞燈佢吖。,It's getting dark. Please turn the light on for me.,Бұл қазір мен қаңтар мен жарыққа қазанға болады.,"Өйткені, қазір мен сенің қағидалар мен қаһардықтармен айналды."
天都開始黑喇。返屋企囉！,It is getting dark. Let's go home.,Өзiңiмiнiкiздiпiшiлiгiддтiттeiсiрi.iiвiжi!i,Қазіргі уақытта өңдеуге қайтарып отырмыз!
個天黑咗之後就唔好俾佢出街喇。,Don't let her go out after dark.,"Қазір қайтарып, қайтардан қайтап келді.",Қазіргі уақытта «Атлант» АҚШ-қатынас қайтарып келді.
個天好黑，但係我哋都搵到路返屋企。,"Dark as it was, we managed to find our way home.",Бұл қазір менің қағидалар мен қаһарманның қабығы мен қайтарып.,"Ауымда, қаңтар мен қазықтары мен жақсартуға болады."
有機菜咁多人鍾意係因為佢哋又安全又好食。,Organic vegetables are popular because they're safe and tasty.,"Бұл жерде бұл жерге ұрпақтар, бұл өзара және өзекті.","Қандай-ақ, бұл өңдеуге қарастырылған және салыстырды."
有機菜安全好食，所以咁多人食。,Organic vegetables are popular because they're safe and tasty.,"Makanan organik aman dan aman, jadi banyak orang makan.","Makanan organik aman dan aman, jadi banyak orang makan."
最後一個關於握手嘅小貼士：記住笑。,I have one final piece of advice related to handshakes: Remember to smile.,Бұл қағидалар мен қаһарманның қаңтарда жарыққа жатады.,Қаланың тұрақты тұрғындарының саны: 1 адамды құрайды
日頭唔好講人。,Speak of the devil and he is sure to appear.,Өзiңiмiз қанақiпiкiнi.,Қазіргі уақытта қалыңды.
壞習慣唔係咁易戒㗎。,It is not easy to get rid of bad habits.,"Bu, çox az fərqlə, az ola bilər.",kebiasaan yang buruk tidak mudah dihindari.
壞習慣好難戒。,It is not easy to get rid of bad habits.,kebiasaan buruk yang sulit ditinggalkan.,kebiasaan buruk yang sulit ditinggalkan.
壞習慣好難改。,It is not easy to get rid of a bad habit.,Thói quen xấu khó thay đổi,Thói quen xấu rất khó thay đổi.
一養成咗壞習慣，就好難改返正㗎喇。,"A bad habit, once formed, is difficult to get rid of.",Бұл қағидалар мен қаһарманның қабырғасы бар.,Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
我哋生活喺文明社會。,We live in a civilized society.,J’aime vivre dans une société civilisée.,Eu gosto de viver em uma sociedade particularmente civilizada.
我哋逼咗入間細房度。,We were crowded into the small room.,Менің қазір мен қаңтар мен жарыққа да бар.,Қазіргі уақытта мақалалар мен салыстырады.
我哋有某啲地方同佢哋唔同。,We differ from them in some respects.,Je suis sûre qu'il y a un endroit avec lui.,Je pense qu'il y a un endroit où je ne suis pas avec lui.
我鍾意坐火車多過搭飛機。,I prefer traveling by train to flying.,"Менің қолылысы бар, бұл ұлыққа бар.",Je voulais plus d’avion en train.
我講極佢都唔信佢做錯咗。,I could not convince him of his mistake.,Mən onunla yanlış davranmaqla inanıram.,Je ne croyais pas qu'elle faisait des erreurs.
我有好多嘢要做。,I have a lot of work to do.,J’ai beaucoup d’entreprises à faire.,Jag har många företag att göra.
美國嘅首都係華盛頓定係紐約呀？,"Which is the capital of the United States, Washington or New York?",Американың Әуес-Айраның қабығы қабаттарды қалады?,Американың Тәуелсіздік қауымда?
唔該俾杯酒我吖。,I'd like to have a glass of wine.,Jag vill inte ha en kopp vin jag vill ha.,술 한 잔을 좋아하지 않는다.
洛杉磯係我想去嘅其中一個地方。,Los Angeles is one of the places that I'd like to visit.,Бұл үшін «Лос-Анджелес» АҚ-ның бір бөлігіне көтеріп отыр.,«Аллаһ» АҚШ-ның бір бөлігінің бір-бірімен танымал.
支火箭而家應該已經到咗月球喇。,The rocket ought to have reached the moon by now.,Бұл ракеты мен саудалар мен ұзақтығы аймақтарда.,Қазіргі уақытта «Атлантикалық ракеты» бағдарламасымен таныстырады.
而家嘅貸款利率好高。,Interest on loans is high at present.,Өнімдермен көшiрiң кредитiнде.,Өйткені одан аударып тұрады.
我喺度搵緊啲講古羅馬歷史嘅書。,I'm looking for books on Roman history.,Менің бірінші қазір менің қазықтары мен қазалары мен қараматын.,Қазіргі таңда бүкіл әлемнің историкалық құбырдық қағидалардан тұрады.
羅馬有好多古建築。,Rome has a lot of ancient buildings.,В Риме много древних архитектур.,В Риме много древних архитектур.
阿 Lucy 實會嚟嘅。,Lucy is certain to come.,Бұл қазір қарап тұрады.,Алайда қанақтықты бар.
琳達伸咗條脷出嚟。,Linda stuck her tongue out.,Бұл қағидалар мен қаһарманның дағдырысы.,Қазіргі уақытта айналды жасайды.
Linda好鍾意朱古力。,Linda loves chocolate.,Бұл қазір мен қағидалар мен жарық.,Өзiмiкiнiгiздiпiшiлiрi.
有啲蘋果喺棵樹度跌咗落嚟。,Some apples fell down from the tree.,Бұл жерде одан да салыстырды.,Қазіргі уақытта алдыңғы аймақтардан тұрады.
可唔可以借你部收音機俾我呀？,Can I borrow your radio?,"Қандай да, бұл радиода менің қанаққа?",Kan du inte låna din radiostation för att älska mig?
聽聽吓收音機，我瞓著咗。,I fell asleep while listening to the radio.,"Бұл радиодан тұрады, бұл радиода көтеріп тұру.","Қандай-ақ радиодан тұрады, деп ойлаймын."
可唔可以將部收音機較細聲少少呀？,Could you turn down the radio?,Бұл радиода бір рет жеңді бар?,Қазіргі уақытта радиостанциясы бір-бірімен көруге болады?
你有冇打火機呀？,Have you got a lighter?,Бұл жерде жарыққа жасайды?,Vous avez une machine à feu ?
你有冇打火機呀？,Do you have a lighter?,Бұл жерде жарыққа жасайды?,Vous avez une machine à feu ?
你冇嘢吖嘛？,You all right?,Vous avez bien ?,Oletko sinä valmis?
我成日都醒唔起佢個名。,Her name often escapes me.,Je ne me réveille pas le jour de son nom.,Je ne me réveille pas tous les jours de son nom.
你日日都係做埋啲一模一樣嘅嘢，乜唔會覺得悶嘅咩？,I wonder if you don't get tired of doing the same thing every day.,"Өзiңiздiкiнiмiгiшiлiпiрi,iiндешдeгтiттeткктaтлaдaзaмaнaлeмтoтзeнeлл","Қазіргі уақытта өңдеуге қарастырып қарап отырмыз, деп хабарладым?"
揸慢啲。,Drive slowly.,Бұл қазір қарап.,ゆっくりと。
尋晚行雷閃電。,There was thunder and lightning last night.,Өзiмiң жарықiнiпiз.,Қазіргі уақытта өңдеуге болады.
我有好多嘢想做，但係就係無時間做。,I simply haven't the time to do everything I want to do.,"Jag har många saker att göra, men det är ingen tid att.","J'ai beaucoup de choses à faire, mais il n'y a pas de temps pour le faire."
我哋卒之都見面喇！呢一刻等到我頸都長喇。,"So, we finally meet! I've waited so long for this moment.",Менің қазір мен қаңтар мен жастарды қазанды.,"Қандай-ақ, ол менің қанақтардан тұрады."
你應該食多啲菜。,You should eat more vegetables.,Vous devez manger plus de nourriture.,Anda harus makan lebih banyak sayuran.
小心啲揸車呀，如果唔係就會出事㗎喇。,"Drive more carefully, or you will have an accident.","Бұл, бұл машинасы да салыстыр, онда бұл мақалалар да бар.",Қазіргі уақытта «Атлант» АҚШ-қатынас табылды.
如果我哋有多啲時間咪好囉。,I wish we had more time.,Om jag visste hur mycket tid jag hade.,Om jag visste hur mycket tid det skulle vara.
你可唔可以揸慢少少呀？,Could you drive more slowly?,Tu peux pas être moins lent ?,Tu ne peux pas ralentir moins ?
有冇人仲想食批呀？,Does anyone want some more pie?,Қандай да бір адамды жарық?,Қандай кешiлiкiмдiнiпiзiгiтi?
你應該食多啲生果。,You should eat more fruit.,Vous devez manger plus de fruits.,Vous devriez manger plus de fruits.
我一定會去探佢嘅。,I'll certainly go and see him.,Je vais certainement la chercher.,Je vais certainement la chercher.
梗係啦。,"Yes, of course.",Ақырдың,Қазіргі уақытта.
佢哋當然有啲共通點。,Of course they resemble each other in some ways.,Il y a bien sûr un point commun.,"Bien sûr, il y a un point particulièrement commun."
萬一佢遲到噉點算呀？,What if he should happen to be late?,Бұл қазір бір жылдан кейін қана?,Қазіргі уақытта қайтарып келдім?
俾着我就唔濟喇。,"If I were you, I wouldn't do it.",Менің қазір мен қасымда.,Қандай да не айтыладым.
如果天氣好嘅話，我諗住聽日出發。,I mean to go tomorrow if the weather is fine.,Бұл қазір мен қаңтар мен жарыққа қазаға болады.,"Өзiмiкiздiгiшiлiнiпiрiсiтiң бiртiвi,ii."
如果有人嚟搵我，就同佢講話我出咗去。,"If anybody comes, tell him that I am out.","Əgər birisi mənə sevsə, onunla danışıqdan çıxıram.","Si quelqu’un m’aime, parlez-moi avec elle."
如果可以投胎嘅話，我想喺個有錢家庭度出世，咁就成世唔使憂喇。,"If I could be reborn, I would want to be the child of a rich family, then I'd be set for life.","Бұл қағидалар мен қаһарманның қаңтарда қабырға айналады, бұл қағазды да, қазір қақтардан қауымда.","Қандай-ақ, қаңтарда қанақтардан тұрады, деп ойлаймын."
我哋噉對佢，好似唔係幾好。,It would be unfair if we treated him so badly.,"Je suis sûre de lui, comme si je ne l'avais pas fait.","Je suis sûre de lui, comme si ce n'était pas bon."
假設 A 同 B 之間有座好高嘅山，噉就要諗吓，條路應該跨過座山吖，穿過座山吖，定係直接兜過座山呢？,"If a high hill stood between A and B, it was important to decide whether the line should climb over it, pierce it with a tunnel, or make a detour to avoid it.","Қандай-ақ, бұл, ол да, қазір, ал, кейде да айтатын, алардан, егер, айтылады, қарап, жарық, ұзақ уақытқа дейін, салыстыр, басық, тоқтар, сол жабырды, одан да?","Қандай-ақ, «А» және «Б» жылдар мен «Мұқсас» аймақтардан тұрады."
如果我唔喺限期之前搞掂，我就大檸樂喇。,There will be hell to pay if I don't make this deadline.,"Қандай да, менің да бір жастарды қанаққалып, қалыңды.",جيڪڏھن آءٌ اُن کان اڳ ڪو به ڪم نه ڪندس، ته مون کي اِنھيءَ لاءِ ڪوڙ ڀانيو ويندو آھي.
如果出咗咩事，即刻打電話俾我。,"In case anything happens, call me immediately.","Si vous avez un problème, appelez-moi immédiatement.","Om något inträffar, ring mig omedelbart."
如果你得閒嘅話不如一齊食飯吖？,"I'd like to invite you to lunch, if you're not busy.","Қандай да, бұл жерде де ұрпаққа да?",Қазіргі уақытта өңдеуге қарастырып келдім?
佢聽到呢個消息，實會開心到彈起。,He would be very glad to hear the news.,"Бұл қазір, қағидалардан тұрады, ол қағалатын қауымда.",Қазіргі таңда бүкіл әлем қаржылық дағдарыста.
如果你聽日唔去釣魚，我都唔去喇。,"If you do not go fishing tomorrow, I will not either.","Қандай, бұл күнге дейін жазаға не айтасыз, мен не жасқа.","Jika engkau mendengar hari tidak pergi memancing, aku tidak akan pergi la."
你就算真係知道個真相，而家都係扮唔知好啲。,"Even if you know the truth, you had better pretend otherwise at present.","Siz də bu barədə xəbər verir, amma bu cür xəbərləriniz də var.","Bahkan jika kamu benar-benar mengetahui satu kebenaran, dan keluarga pun tidak tahu apa-apa."
你打咗電話俾佢未呀？,Have you called her yet?,Әдеп телефонға айтылады?,Қазіргі уақытта телефондық қағидалар бар?
你寫好晒啲賀年咭未呀？,Have you written all the New Year's cards already?,"Бұл қазір мен қаңтарда қанаққалып, қапталып отыр?",Қазіргі уақытта бір-қатынас айтылады?
你而家係大學生喇，應該努力啲讀書。,"Now that you're a college student, you should study harder.","Sizə və ailə olan universitetlər, kitabı özünə baxmaq üçün çaba sarf etsin.",Sizin də bu kitabın kitabını okumanız lazımdır.
夠鐘上床瞓覺喇。,It's time to go to bed.,Өзiңiз қанақiпiкiнiмi.,Қазіргі уақытта бас табылды.
我想瞓多陣。,I want to sleep a little more.,Jag vill ha fler ställen.,J’aimerais certainement beaucoup.
你可唔可以講慢少少呀？,"Would you speak more slowly, please?",Tu peux pas parler moins ?,Kan du inte prata lite långsamt?
我爭啲唔記得咗。,I almost forgot it.,Менің жасыққа қазір не айтылады.,Je ne m’en souviens pas.
